"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","NATIONALITY","AGE","HEIGHT","WEIGHT"
"18","Elena Julve Pérez","FC Levante Las Planas","DEL","20","1","0","1","0","4","1689","Spain","22","1.54","44"
"19","Marina Martí Serna","Alhama CF El Pozo","DEL","20","5","1","1","0","4","1665","Spain","26","1.61","54"
"11","Alba Redondo Ferrer","Levante UD","DEL","19","19","5","0","0","5","1639","Spain","26","1.69","63"
"9","Sheila Guijarro Gómez","Villarreal CF","DEL","19","8","0","5","0","5","1612","Spain","26","1.71","68"
"11","María Florencia Bonsegund...","Madrid CFF","DEL","20","6","1","1","0","4","1578","Argentina","29","1.68","59"
"17","Ana Marcos Moral","Valencia Féminas CF","DEL","19","7","0","1","0","4","1576","Spain","22","1.69","58"
"22","Athenea Del Castillo Beivide","Real Madrid","DEL","20","5","6","2","0","3","1570","Spain","22","1.6","52"
"7","Mayra Ramírez","Levante UD","DEL","18","11","8","1","0","4","1557","Colombia","23","1.78","74"
"11","Antionette Oyedupe Payne","Sevilla FC","DEL","20","3","3","0","0","5","1515","United States","27","1.61","55"
"21","Sheila García Gómez","Atlético de Madrid","DEL","19","3","6","5","0","5","1510","Spain","25","1.62","49"
"7","Laura Domínguez Rojo","Madrid CFF","DEL","19","0","4","2","0","3","1504","Spain","25","1.59","49"
"19","Cristina Martín-Prieto Gutiér...","Sevilla FC","DEL","20","8","2","1","0","4","1503","Spain","29","1.73","74"
"7","Irina Priscilla Uribe García","FC Levante Las Planas","DEL","19","7","2","0","0","5","1502","Spain","24","0","0"
"15","Raquel Morcillo Aparicio","Alhama CF El Pozo","DEL","18","1","3","4","0","1","1486","Spain","23","1.67","59"
"11","Macarena Portales Nieto","Valencia Féminas CF","DEL","19","1","1","1","0","4","1478","Spain","24","1.62","54"
"7","Amaiur Sarriegi Isasa","Real Sociedad","DEL","20","9","1","0","0","5","1466","Spain","22","1.68","59"
"9","Asun Martínez Salinas","Valencia Féminas CF","DEL","20","4","3","0","0","5","1443","Spain","21","1.58","55"
"9","Jade Boho Sayo","Alhama CF El Pozo","DEL","17","3","0","1","0","4","1416","Spain","36","1.67","65"
"8","Koko Ange N'guessan","UDG Tenerife Egatesa","DEL","20","1","1","0","0","5","1376","Ivory Coast","32","1.53","45"
