"SOCCER NUMBER","NAME","TEAM","POSITION","MATCHES PLAYED","GOALS","ASSISTS","YELLOW CARDS","RED CARDS","CYCLE RC","MINUTES PLAYED","COUNTRY","AGE","HEIGHT","WEIGHT"
"4","Pau Torres ","Villarreal CF","DEF","20","0","0","8","0","1","1800","Spain","26","1.91","80"
"5","Alejandro Catena","Rayo Vallecano","DEF","20","1","1","5","0","1","1799","Spain","28","1.94","82"
"20","Vinicius Jr","Real Madrid","DEL","20","8","4","6","0","1","1767","Brazil","22","1.76","73"
"6","Domingos Duarte","Getafe CF ","DEF","20","0","2","7","0","0","1754","Portugal","28","1.9","78"
"10","Enes Unal","Getafe CF ","DEL","20","6","2","4","0","1","1749","Turkey","25","1.84","77"
"7","Vedat Muriqi","RCD Mallorca","DEL","20","9","2","5","1","0","1749","Kosovo","28","1.94","92"
"9","Jose Luis Mato Joselu","RCD Espanyol ","DEL","20","12","2","3","0","2","1735","Spain","32","1.92","80"
"10","Iago Aspas","RC Celta","DEL","20","9","3","2","0","3","1684","Spain","35","1.76","69"
"9","Robert Lewandowski","FC Barcelona","DEL","20","15","5","0","0","5","1682","Poland","33","1.84","80"
"4","Leandro Cabrera","RCD Espanyol ","DEF","20","0","0","2","1","3","1662","Uruguay","31","1.9","80"
"17","Martin Braithwaite","RCD Espanyol ","DEL","20","8","1","2","1","3","1645","Denmark","31","1.8","75"
"16","German Pezzella","Real Betis","DEF","20","0","0","2","2","3","1622","Argentina","31","1.9","82"
"5","Javier Sanchez","Real Valladolid CF","DEF","20","1","0","8","0","1","1608","Spain","26","1.89","71"
"15","Federico Valverde","Real Madrid","CC","20","6","2","2","0","3","1569","Uruguay","24","1.82","78"
"8","Pedri Gonzalez Lopez","FC Barcelona","CC","20","5","0","2","0","3","1554","Spain","20","1.74","60"
"23","Brais Mendez","Real Sociedad","CC","20","7","3","5","0","0","1530","Spain","26","1.87","80"
"2","Oscar Gil","RCD Espanyol ","DEF","20","0","1","8","0","0","1527","Spain","24","1.73","74"
"19","Alexander Sorloth","Real Sociedad","DEL","20","9","1","4","0","1","1523","Norway","27","1.92","90"
"15","Stefan Savic","Atlético de Madrid","DEF","17","0","0","4","1","1","1495","Montenegro","32","1.88","73"
"9","Borja Iglesias","Real Betis","DEL","20","10","3","1","1","4","1469","Spain","30","1.87","86"
"20","Gerard Gumbau","Elche CF","CC","20","0","4","9","0","0","1461","Spain","28","1.88","77"
"20","Iza Carcelen","Cadiz CF","DEF","18","0","1","2","3","0","1418","Spain","29","1.7","69"
"6","Pedro Bigas","Elche CF","DEF","19","0","0","2","2","0","1417","Spain","32","1.81","78"
"11","Carles Aleña","Getafe CF ","CC","20","2","2","6","0","1","1375","Spain","25","1.8","73"
"8","Antoine Griezmann","Atlético de Madrid","DEL","20","6","8","0","0","0","1351","France","31","1.76","73"
"9","Karim Benzema","Real Madrid","DEL","15","9","3","1","0","4","1306","France","35","1.85","81"
"9","Chimy Avila","CA Osasuna","DEL","20","7","2","6","1","1","1288","Argentina","29","1.72","72"
"16","Alex Baena","Villarreal CF","CC","20","4","1","9","0","1","1122","Spain","21","1.74","76"
"22","Raphina Dias","FC Barcelona","DEL","20","4","4","2","0","3","1060","Brazil","26","1.76","68"
"19","Álvaro Morata","Atlético de Madrid","DEL","20","7","1","3","0","2","1058","Spain","30","1.89","84"
"7","Gerard Moreno","Villarreal CF","DEL","15","6","2","3","0","2","1037","Spain","30","1.8","77"
"19","Luiz Felipe","Real Betis","DEF","14","0","0","1","3","4","1034","Brazil","25","1.87","80"
"22","Mario Hermoso","Atlético de Madrid","DEF","13","2","0","1","0","4","982","Spain","27","1.84","75"
"11","Ivan Alejo","Cadiz CF","CC","20","0","1","7","0","1","823","Spain","28","1.86","73"
"5","Gonzalo Verdú","Elche CF","DEF","11","1","0","0","2","5","545","Spain","34","1.85","80"
"40","Jose Angel Carmona","Sevilla FC","DEF","7","1","0","3","0","2","523","Spain","21","1.83","82"
"9","Radamel Falcao","Rayo Vallecano","DEL","20","2","0","4","0","1","496","Colombia","37","1.77","72"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
